epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5747.19,0.58985,0.41687,1.00469,0.83006,0.80897,0.85076,0.62728,0.89868,0.77824,1.23081,0.000174665,0.000174665,0.000174665
43,5889.09,0.58308,0.41419,1.00779,0.83337,0.79856,0.83798,0.60971,0.90448,0.93344,1.24581,0.000171755,0.000171755,0.000171755
44,6034.09,0.56703,0.38937,0.98647,0.83774,0.78963,0.84568,0.62657,0.87725,0.9207,1.22419,0.000168844,0.000168844,0.000168844
45,6177.22,0.5606,0.39075,0.98589,0.86478,0.77562,0.84545,0.63176,0.87615,0.80849,1.19713,0.000165934,0.000165934,0.000165934
46,6320.86,0.56009,0.39556,0.98293,0.84047,0.78248,0.85017,0.63533,0.86165,0.80252,1.19333,0.000163023,0.000163023,0.000163023
47,6464.58,0.55483,0.38747,0.9836,0.81012,0.79623,0.83941,0.63054,0.85583,1.07539,1.20017,0.000160112,0.000160112,0.000160112
48,6608.65,0.54823,0.38352,0.9802,0.85483,0.77792,0.84806,0.63147,0.869,1.02119,1.22124,0.000157202,0.000157202,0.000157202
49,6750.48,0.53737,0.37827,0.97855,0.85061,0.77871,0.84155,0.62645,0.86856,0.74059,1.20733,0.000154291,0.000154291,0.000154291
50,6895.12,0.54434,0.36815,0.97764,0.8531,0.77037,0.84599,0.63114,0.88193,0.77747,1.23079,0.000151381,0.000151381,0.000151381
51,7037.34,0.5315,0.37774,0.98179,0.83002,0.75703,0.81812,0.61638,0.86435,0.75699,1.21263,0.00014847,0.00014847,0.00014847
52,7181.42,0.53423,0.3628,0.97598,0.81112,0.82242,0.84559,0.62875,0.87366,0.78153,1.22278,0.000145559,0.000145559,0.000145559
53,7323.5,0.5311,0.37058,0.98289,0.83941,0.81347,0.86238,0.64422,0.85087,0.85588,1.22739,0.000142649,0.000142649,0.000142649
54,7468.26,0.52155,0.38425,0.97163,0.85771,0.74381,0.82782,0.62582,0.83405,0.74634,1.20203,0.000139738,0.000139738,0.000139738
55,7609.73,0.51906,0.36582,0.97563,0.83625,0.79055,0.84801,0.64133,0.84631,0.75778,1.20142,0.000136828,0.000136828,0.000136828
56,7753.71,0.51119,0.35179,0.96498,0.83796,0.79691,0.85202,0.64013,0.85025,0.68831,1.22229,0.000133917,0.000133917,0.000133917
57,7896.13,0.51774,0.35238,0.97726,0.83406,0.80745,0.85649,0.64733,0.84898,0.74144,1.21032,0.000131006,0.000131006,0.000131006
58,8039.68,0.50429,0.34794,0.95859,0.84737,0.80243,0.85112,0.64203,0.8563,0.71462,1.19513,0.000128096,0.000128096,0.000128096
59,8183.19,0.51592,0.36196,0.97288,0.83402,0.79893,0.84612,0.63808,0.85944,0.97805,1.22035,0.000125185,0.000125185,0.000125185
60,8326.09,0.5066,0.35815,0.96784,0.84385,0.79507,0.84693,0.63695,0.86555,0.67743,1.22852,0.000122275,0.000122275,0.000122275
61,8470.69,0.4867,0.34596,0.95042,0.84053,0.7896,0.85528,0.64736,0.83568,0.76928,1.18693,0.000119364,0.000119364,0.000119364
62,8613.61,0.49822,0.33538,0.96109,0.83861,0.8067,0.85323,0.64441,0.85081,0.69659,1.20674,0.000116453,0.000116453,0.000116453
63,8756.24,0.4877,0.32988,0.94988,0.83257,0.81592,0.85662,0.65165,0.83036,0.78611,1.19309,0.000113543,0.000113543,0.000113543
64,8900.91,0.4734,0.31288,0.94136,0.84818,0.79836,0.8462,0.64779,0.81618,0.64171,1.16224,0.000110632,0.000110632,0.000110632
65,9043.04,0.47696,0.32037,0.9477,0.84703,0.79401,0.84693,0.64059,0.85181,0.74102,1.20193,0.000107722,0.000107722,0.000107722
66,9185.61,0.47584,0.32851,0.95076,0.82622,0.80448,0.84997,0.64395,0.84918,0.67507,1.19926,0.000104811,0.000104811,0.000104811
67,9329.79,0.46792,0.32477,0.94311,0.85492,0.80157,0.85696,0.64511,0.84417,0.65274,1.22112,0.0001019,0.0001019,0.0001019
68,9472.39,0.47213,0.31718,0.94118,0.84427,0.81608,0.86048,0.6506,0.82466,0.68535,1.20443,9.89898e-05,9.89898e-05,9.89898e-05
69,9614.43,0.45216,0.30806,0.93693,0.87116,0.79006,0.85335,0.64999,0.82576,0.682,1.18348,9.60792e-05,9.60792e-05,9.60792e-05
70,9757.86,0.46943,0.32165,0.94494,0.86741,0.79715,0.85684,0.64911,0.84874,0.73019,1.2172,9.31686e-05,9.31686e-05,9.31686e-05
71,9901.19,0.45862,0.30267,0.94124,0.83984,0.81491,0.85952,0.65402,0.81814,0.78256,1.19795,9.0258e-05,9.0258e-05,9.0258e-05
72,10045.7,0.45038,0.30346,0.93962,0.85722,0.80969,0.85893,0.65335,0.8262,0.7143,1.19208,8.73474e-05,8.73474e-05,8.73474e-05
73,10189.4,0.45237,0.30755,0.93523,0.82831,0.822,0.85211,0.6523,0.82983,0.65369,1.18439,8.44368e-05,8.44368e-05,8.44368e-05
74,10331.6,0.44303,0.30034,0.93103,0.83272,0.81574,0.85199,0.65028,0.81684,0.71822,1.18376,8.15262e-05,8.15262e-05,8.15262e-05
75,10475,0.44704,0.30161,0.93435,0.85717,0.79801,0.85393,0.64957,0.82212,0.64324,1.20433,7.86156e-05,7.86156e-05,7.86156e-05
76,10619.3,0.44675,0.29771,0.9384,0.86443,0.78491,0.85099,0.65263,0.8174,0.66932,1.19075,7.5705e-05,7.5705e-05,7.5705e-05
77,10761.6,0.44059,0.3041,0.9293,0.8496,0.80775,0.8544,0.64922,0.81191,0.65589,1.19676,7.27944e-05,7.27944e-05,7.27944e-05
78,10904.4,0.42234,0.27818,0.91642,0.83346,0.81225,0.8494,0.64864,0.81395,0.70512,1.18559,6.98838e-05,6.98838e-05,6.98838e-05
79,11048.3,0.41982,0.28167,0.91875,0.86294,0.80333,0.86108,0.65542,0.82586,0.6705,1.20176,6.69732e-05,6.69732e-05,6.69732e-05
80,11192,0.42252,0.28115,0.92242,0.84157,0.80578,0.84934,0.65088,0.83194,0.72806,1.21694,6.40626e-05,6.40626e-05,6.40626e-05
81,11334.7,0.42068,0.27404,0.91865,0.8516,0.80953,0.85421,0.6577,0.80219,0.71273,1.18864,6.1152e-05,6.1152e-05,6.1152e-05
82,11479.3,0.41315,0.28014,0.9203,0.85845,0.81377,0.86444,0.66324,0.80227,0.61188,1.18817,5.82414e-05,5.82414e-05,5.82414e-05
83,11623.1,0.41041,0.2758,0.91518,0.87389,0.7801,0.84645,0.65089,0.80863,0.75857,1.18776,5.53308e-05,5.53308e-05,5.53308e-05
84,11765.7,0.41028,0.27431,0.91325,0.85577,0.7972,0.85107,0.65157,0.82071,0.66026,1.19166,5.24202e-05,5.24202e-05,5.24202e-05
85,11909.8,0.41089,0.27398,0.92267,0.84357,0.81814,0.86127,0.65692,0.81237,0.641,1.19431,4.95096e-05,4.95096e-05,4.95096e-05
86,12053,0.40359,0.26666,0.913,0.86187,0.79861,0.86122,0.66057,0.81196,0.66573,1.20968,4.6599e-05,4.6599e-05,4.6599e-05
87,12195.2,0.40622,0.26641,0.91781,0.86886,0.79061,0.85496,0.65715,0.81783,0.71802,1.21089,4.36884e-05,4.36884e-05,4.36884e-05
88,12339.5,0.40028,0.26362,0.91566,0.86195,0.79544,0.86082,0.66095,0.8084,0.65727,1.20478,4.07778e-05,4.07778e-05,4.07778e-05
89,12482.6,0.40539,0.26764,0.91414,0.85669,0.79447,0.8551,0.65646,0.80441,0.68812,1.1974,3.78672e-05,3.78672e-05,3.78672e-05
90,12624.8,0.39427,0.26933,0.91162,0.86335,0.79065,0.85052,0.6563,0.80532,0.6638,1.19522,3.49566e-05,3.49566e-05,3.49566e-05
91,12770.2,0.3299,0.21043,0.86967,0.84811,0.80256,0.84929,0.65881,0.79781,0.81092,1.19547,3.2046e-05,3.2046e-05,3.2046e-05
92,12914.5,0.32527,0.20723,0.868,0.84944,0.80353,0.84804,0.6566,0.78977,0.70065,1.1898,2.91354e-05,2.91354e-05,2.91354e-05
93,13058,0.32104,0.2058,0.86439,0.83399,0.80014,0.84272,0.65398,0.79252,0.77428,1.199,2.62248e-05,2.62248e-05,2.62248e-05
94,13200.2,0.32396,0.22432,0.87011,0.86103,0.78942,0.84469,0.65769,0.79411,0.6436,1.19654,2.33142e-05,2.33142e-05,2.33142e-05
95,13342.8,0.32217,0.20585,0.87383,0.84627,0.80391,0.84915,0.65936,0.79009,0.6636,1.19635,2.04036e-05,2.04036e-05,2.04036e-05
96,13487.7,0.30721,0.19563,0.86159,0.84707,0.80441,0.8476,0.65712,0.79383,0.733,1.1987,1.7493e-05,1.7493e-05,1.7493e-05
97,13631.2,0.31026,0.20238,0.86291,0.85339,0.79448,0.84575,0.65813,0.78722,0.68762,1.19209,1.45824e-05,1.45824e-05,1.45824e-05
98,13774.3,0.30992,0.19899,0.86577,0.85134,0.80428,0.84909,0.65979,0.79089,0.71405,1.19851,1.16718e-05,1.16718e-05,1.16718e-05
99,13918.8,0.31017,0.19715,0.86022,0.8637,0.79538,0.85122,0.65876,0.79241,0.66161,1.20013,8.7612e-06,8.7612e-06,8.7612e-06
100,14061.3,0.30399,0.19429,0.85898,0.86212,0.79693,0.85064,0.65864,0.79131,0.66646,1.20155,5.8506e-06,5.8506e-06,5.8506e-06
